tube_id,x,y,z,r,theta,dir_x,dir_y,dir_z,region
19746,3177.0,-353.0,-3296.471111111,3196.550953762508,-0.11065722117389565,0.0,0.0,1.0,bottom_cap
19745,3177.0,-211.8,-3296.471111111,3184.052172939382,-0.06656816377582381,0.0,0.0,1.0,bottom_cap
19744,3177.0,-70.6,-3296.471111111,3177.784347623356,-0.022218565326719057,0.0,0.0,1.0,bottom_cap
19743,3177.0,70.6,-3296.471111111,3177.784347623356,0.022218565326719057,0.0,0.0,1.0,bottom_cap
19742,3177.0,211.8,-3296.471111111,3184.052172939382,0.06656816377582381,0.0,0.0,1.0,bottom_cap
19741,3177.0,353.0,-3296.471111111,3196.550953762508,0.11065722117389565,0.0,0.0,1.0,bottom_cap
19740,3106.4,-706.0,-3296.471111111,3185.617202364402,-0.223476601140633,0.0,0.0,1.0,bottom_cap
19739,3106.4,-564.8,-3296.471111111,3157.327984229703,-0.17985349979247825,0.0,0.0,1.0,bottom_cap
19738,3106.4,-423.6,-3296.471111111,3135.148787537842,-0.13552771398550073,0.0,0.0,1.0,bottom_cap
19737,3106.4,-282.4,-3296.471111111,3119.2099512536824,-0.09065988720074511,0.0,0.0,1.0,bottom_cap
19736,3106.4,-141.2,-3296.471111111,3109.607435030988,-0.04542327942157701,0.0,0.0,1.0,bottom_cap
19735,3106.4,-0.0,-3296.471111111,3106.4,-0.0,0.0,0.0,1.0,bottom_cap
19734,3106.4,141.2,-3296.471111111,3109.607435030988,0.04542327942157701,0.0,0.0,1.0,bottom_cap
19733,3106.4,282.4,-3296.471111111,3119.2099512536824,0.09065988720074511,0.0,0.0,1.0,bottom_cap
19732,3106.4,423.6,-3296.471111111,3135.148787537842,0.13552771398550073,0.0,0.0,1.0,bottom_cap
19731,3106.4,564.8,-3296.471111111,3157.327984229703,0.17985349979247825,0.0,0.0,1.0,bottom_cap
19730,3106.4,706.0,-3296.471111111,3185.617202364402,0.223476601140633,0.0,0.0,1.0,bottom_cap
19729,3035.8,-917.8,-3296.471111111,3171.504135264528,-0.2935889874087497,0.0,0.0,1.0,bottom_cap
19728,3035.8,-776.6,-3296.471111111,3133.5585521895073,-0.25044308961135187,0.0,0.0,1.0,bottom_cap
19727,3035.8,-635.4,-3296.471111111,3101.5826282722182,-0.20632389402971746,0.0,0.0,1.0,bottom_cap
19726,3035.8,-494.2,-3296.471111111,3075.7625526038255,-0.16137511042069144,0.0,0.0,1.0,bottom_cap
19725,3035.8,-353.0,-3296.471111111,3056.2543480541667,-0.11575921772081071,0.0,0.0,1.0,bottom_cap
19724,3035.8,-211.8,-3296.471111111,3043.179403190026,-0.0696545737285682,0.0,0.0,1.0,bottom_cap
19723,3035.8,-70.6,-3296.471111111,3036.6208192660474,-0.02325162281046291,0.0,0.0,1.0,bottom_cap
19722,3035.8,70.6,-3296.471111111,3036.6208192660474,0.02325162281046291,0.0,0.0,1.0,bottom_cap
19721,3035.8,211.8,-3296.471111111,3043.179403190026,0.0696545737285682,0.0,0.0,1.0,bottom_cap
19720,3035.8,353.0,-3296.471111111,3056.2543480541667,0.11575921772081071,0.0,0.0,1.0,bottom_cap
19719,3035.8,494.2,-3296.471111111,3075.7625526038255,0.16137511042069144,0.0,0.0,1.0,bottom_cap
19718,3035.8,635.4,-3296.471111111,3101.5826282722182,0.20632389402971746,0.0,0.0,1.0,bottom_cap
19717,3035.8,776.6,-3296.471111111,3133.5585521895073,0.25044308961135187,0.0,0.0,1.0,bottom_cap
19716,3035.8,917.8,-3296.471111111,3171.504135264528,0.2935889874087497,0.0,0.0,1.0,bottom_cap
19715,2965.2,-1129.6,-3296.471111111,3173.0753536592856,-0.36397895650964407,0.0,0.0,1.0,bottom_cap
19714,2965.2,-988.4,-3296.471111111,3125.595239310426,-0.3217505543966422,0.0,0.0,1.0,bottom_cap
19713,2965.2,-847.2,-3296.471111111,3083.8545490992274,-0.2782996590051114,0.0,0.0,1.0,bottom_cap
19712,2965.2,-706.0,-3296.471111111,3048.0890800631137,-0.23374318086890145,0.0,0.0,1.0,bottom_cap
19711,2965.2,-564.8,-3296.471111111,3018.511235692191,-0.18822150530477075,0.0,0.0,1.0,bottom_cap
19710,2965.2,-423.6,-3296.471111111,2995.3043251062154,-0.14189705460416394,0.0,0.0,1.0,bottom_cap
19709,2965.2,-282.4,-3296.471111111,2978.6172630937326,-0.09495170634275632,0.0,0.0,1.0,bottom_cap
19708,2965.2,-141.2,-3296.471111111,2968.5600010779635,-0.047583103276983396,0.0,0.0,1.0,bottom_cap
19707,2965.2,-0.0,-3296.471111111,2965.2,-0.0,0.0,0.0,1.0,bottom_cap
19706,2965.2,141.2,-3296.471111111,2968.5600010779635,0.047583103276983396,0.0,0.0,1.0,bottom_cap
19705,2965.2,282.4,-3296.471111111,2978.6172630937326,0.09495170634275632,0.0,0.0,1.0,bottom_cap
19704,2965.2,423.6,-3296.471111111,2995.3043251062154,0.14189705460416394,0.0,0.0,1.0,bottom_cap
19703,2965.2,564.8,-3296.471111111,3018.511235692191,0.18822150530477075,0.0,0.0,1.0,bottom_cap
19702,2965.2,706.0,-3296.471111111,3048.0890800631137,0.23374318086890145,0.0,0.0,1.0,bottom_cap
19701,2965.2,847.2,-3296.471111111,3083.8545490992274,0.2782996590051114,0.0,0.0,1.0,bottom_cap
19700,2965.2,988.4,-3296.471111111,3125.595239310426,0.3217505543966422,0.0,0.0,1.0,bottom_cap
19699,2965.2,1129.6,-3296.471111111,3173.0753536592856,0.36397895650964407,0.0,0.0,1.0,bottom_cap
19698,2894.6,-1341.4,-3296.471111111,3190.307684221069,-0.4339533693938966,0.0,0.0,1.0,bottom_cap
19697,2894.6,-1200.2,-3296.471111111,3133.558552189507,-0.39305801918193256,0.0,0.0,1.0,bottom_cap
19696,2894.6,-1059.0,-3296.471111111,3082.237849355562,-0.3507279482482035,0.0,0.0,1.0,bottom_cap
19695,2894.6,-917.8,-3296.471111111,3036.6208192660474,-0.30704573201879076,0.0,0.0,1.0,bottom_cap
19694,2894.6,-776.6,-3296.471111111,2996.9679210829067,-0.26211984126547283,0.0,0.0,1.0,bottom_cap
19693,2894.6,-635.4,-3296.471111111,2963.518570888328,-0.21608497229678642,0.0,0.0,1.0,bottom_cap
19692,2894.6,-494.2,-3296.471111111,2936.4847692436615,-0.16910122600137703,0.0,0.0,1.0,bottom_cap
19691,2894.6,-353.0,-3296.471111111,2916.0449516425497,-0.12135200057076369,0.0,0.0,1.0,bottom_cap
19690,2894.6,-211.8,-3296.471111111,2902.338436502538,-0.07304056530311932,0.0,0.0,1.0,bottom_cap
19689,2894.6,-70.6,-3296.471111111,2895.4608476026747,-0.024385409172718534,0.0,0.0,1.0,bottom_cap
19688,2894.6,70.6,-3296.471111111,2895.4608476026747,0.024385409172718534,0.0,0.0,1.0,bottom_cap
19687,2894.6,211.8,-3296.471111111,2902.338436502538,0.07304056530311932,0.0,0.0,1.0,bottom_cap
19686,2894.6,353.0,-3296.471111111,2916.0449516425497,0.12135200057076369,0.0,0.0,1.0,bottom_cap
19685,2894.6,494.2,-3296.471111111,2936.4847692436615,0.16910122600137703,0.0,0.0,1.0,bottom_cap
19684,2894.6,635.4,-3296.471111111,2963.518570888328,0.21608497229678642,0.0,0.0,1.0,bottom_cap
19683,2894.6,776.6,-3296.471111111,2996.9679210829067,0.26211984126547283,0.0,0.0,1.0,bottom_cap
19682,2894.6,917.8,-3296.471111111,3036.6208192660474,0.30704573201879076,0.0,0.0,1.0,bottom_cap
19681,2894.6,1059.0,-3296.471111111,3082.237849355562,0.3507279482482035,0.0,0.0,1.0,bottom_cap
19680,2894.6,1200.2,-3296.471111111,3133.558552189507,0.39305801918193256,0.0,0.0,1.0,bottom_cap
19679,2894.6,1341.4,-3296.471111111,3190.307684221069,0.4339533693938966,0.0,0.0,1.0,bottom_cap
19678,2824.0,-1412.0,-3296.471111111,3157.327984229703,-0.4636476090008061,0.0,0.0,1.0,bottom_cap
19677,2824.0,-1270.8,-3296.471111111,3096.757762563937,-0.4228539261329407,0.0,0.0,1.0,bottom_cap
19676,2824.0,-1129.6,-3296.471111111,3041.541083069568,-0.38050637711236485,0.0,0.0,1.0,bottom_cap
19675,2824.0,-988.4,-3296.471111111,2991.9743581788935,-0.33667481938672716,0.0,0.0,1.0,bottom_cap
19674,2824.0,-847.2,-3296.471111111,2948.342558116339,-0.2914567944778671,0.0,0.0,1.0,bottom_cap
19673,2824.0,-706.0,-3296.471111111,2910.9125716860685,-0.24497866312686414,0.0,0.0,1.0,bottom_cap
19672,2824.0,-564.8,-3296.471111111,2879.926221277205,-0.19739555984988075,0.0,0.0,1.0,bottom_cap
19671,2824.0,-423.6,-3296.471111111,2855.5932763613237,-0.14888994760949725,0.0,0.0,1.0,bottom_cap
19670,2824.0,-282.4,-3296.471111111,2838.084875404539,-0.09966865249116202,0.0,0.0,1.0,bottom_cap
19669,2824.0,-141.2,-3296.471111111,2827.527796503511,-0.04995839572194276,0.0,0.0,1.0,bottom_cap
19668,2824.0,-0.0,-3296.471111111,2824.0,-0.0,0.0,0.0,1.0,bottom_cap
19667,2824.0,141.2,-3296.471111111,2827.527796503511,0.04995839572194276,0.0,0.0,1.0,bottom_cap
19666,2824.0,282.4,-3296.471111111,2838.084875404539,0.09966865249116202,0.0,0.0,1.0,bottom_cap
19665,2824.0,423.6,-3296.471111111,2855.5932763613237,0.14888994760949725,0.0,0.0,1.0,bottom_cap
19664,2824.0,564.8,-3296.471111111,2879.926221277205,0.19739555984988075,0.0,0.0,1.0,bottom_cap
19663,2824.0,706.0,-3296.471111111,2910.9125716860685,0.24497866312686414,0.0,0.0,1.0,bottom_cap
19662,2824.0,847.2,-3296.471111111,2948.342558116339,0.2914567944778671,0.0,0.0,1.0,bottom_cap
19661,2824.0,988.4,-3296.471111111,2991.9743581788935,0.33667481938672716,0.0,0.0,1.0,bottom_cap
19660,2824.0,1129.6,-3296.471111111,3041.541083069568,0.38050637711236485,0.0,0.0,1.0,bottom_cap
19659,2824.0,1270.8,-3296.471111111,3096.757762563937,0.4228539261329407,0.0,0.0,1.0,bottom_cap
19658,2824.0,1412.0,-3296.471111111,3157.327984229703,0.4636476090008061,0.0,0.0,1.0,bottom_cap
19657,2753.4,-1623.8,-3296.471111111,3196.550953762508,-0.5328438876193887,0.0,0.0,1.0,bottom_cap
19656,2753.4,-1482.6,-3296.471111111,3127.1895241574343,-0.4939413689195812,0.0,0.0,1.0,bottom_cap
19655,2753.4,-1341.4,-3296.471111111,3062.7708892439214,-0.4533386958545628,0.0,0.0,1.0,bottom_cap
19654,2753.4,-1200.2,-3296.471111111,3003.61309092899,-0.4110645473898644,0.0,0.0,1.0,bottom_cap
19653,2753.4,-1059.0,-3296.471111111,2950.0326371075967,-0.3671738338182192,0.0,0.0,1.0,bottom_cap
19652,2753.4,-917.8,-3296.471111111,2902.3384365025386,-0.3217505543966422,0.0,0.0,1.0,bottom_cap
19651,2753.4,-776.6,-3296.471111111,2860.824902016899,-0.27490984148067255,0.0,0.0,1.0,bottom_cap
19650,2753.4,-635.4,-3296.471111111,2825.7644487819575,-0.22679884805388587,0.0,0.0,1.0,bottom_cap
19649,2753.4,-494.2,-3296.471111111,2797.3997211696437,-0.17759616728348787,0.0,0.0,1.0,bottom_cap
19648,2753.4,-353.0,-3296.471111111,2775.935979088855,-0.12750955821523827,0.0,0.0,1.0,bottom_cap
19647,2753.4,-211.8,-3296.471111111,2761.5341388438424,-0.07677189126977804,0.0,0.0,1.0,bottom_cap
19646,2753.4,-70.6,-3296.471111111,2754.30497948212,-0.025635408521677477,0.0,0.0,1.0,bottom_cap
19645,2753.4,70.6,-3296.471111111,2754.30497948212,0.025635408521677477,0.0,0.0,1.0,bottom_cap
19644,2753.4,211.8,-3296.471111111,2761.5341388438424,0.07677189126977804,0.0,0.0,1.0,bottom_cap
19643,2753.4,353.0,-3296.471111111,2775.935979088855,0.12750955821523827,0.0,0.0,1.0,bottom_cap
19642,2753.4,494.2,-3296.471111111,2797.3997211696437,0.17759616728348787,0.0,0.0,1.0,bottom_cap
19641,2753.4,635.4,-3296.471111111,2825.7644487819575,0.22679884805388587,0.0,0.0,1.0,bottom_cap
19640,2753.4,776.6,-3296.471111111,2860.824902016899,0.27490984148067255,0.0,0.0,1.0,bottom_cap
19639,2753.4,917.8,-3296.471111111,2902.3384365025386,0.3217505543966422,0.0,0.0,1.0,bottom_cap
19638,2753.4,1059.0,-3296.471111111,2950.0326371075967,0.3671738338182192,0.0,0.0,1.0,bottom_cap
19637,2753.4,1200.2,-3296.471111111,3003.61309092899,0.4110645473898644,0.0,0.0,1.0,bottom_cap
19636,2753.4,1341.4,-3296.471111111,3062.7708892439214,0.4533386958545628,0.0,0.0,1.0,bottom_cap
19635,2753.4,1482.6,-3296.471111111,3127.1895241574343,0.4939413689195812,0.0,0.0,1.0,bottom_cap
19634,2753.4,1623.8,-3296.471111111,3196.550953762508,0.5328438876193887,0.0,0.0,1.0,bottom_cap
19633,2682.8,-1694.4,-3296.471111111,3173.0753536592856,-0.5633162614919681,0.0,0.0,1.0,bottom_cap
19632,2682.8,-1553.2,-3296.471111111,3099.9751740941415,-0.5247957716501073,0.0,0.0,1.0,bottom_cap
19631,2682.8,-1412.0,-3296.471111111,3031.6925701660452,-0.4844779290370232,0.0,0.0,1.0,bottom_cap
19630,2682.8,-1270.8,-3296.471111111,2968.560001077964,-0.4423742229767449,0.0,0.0,1.0,bottom_cap
19629,2682.8,-1129.6,-3296.471111111,2910.9125716860685,-0.3985224456664202,0.0,0.0,1.0,bottom_cap
19628,2682.8,-988.4,-3296.471111111,2859.082090461902,-0.35299038782691045,0.0,0.0,1.0,bottom_cap
19627,2682.8,-847.2,-3296.471111111,2813.390068938184,-0.30587887140485215,0.0,0.0,1.0,bottom_cap
19626,2682.8,-706.0,-3296.471111111,2774.1398378596564,-0.25732371497108864,0.0,0.0,1.0,bottom_cap
19625,2682.8,-564.8,-3296.471111111,2741.6080828594013,-0.20749622643520263,0.0,0.0,1.0,bottom_cap
19624,2682.8,-423.6,-3296.471111111,2716.036229507994,-0.15660187698201536,0.0,0.0,1.0,bottom_cap
19623,2682.8,-282.4,-3296.471111111,2697.6222122454433,-0.10487693873023388,0.0,0.0,1.0,bottom_cap
19622,2682.8,-141.2,-3296.471111111,2686.5132197701914,-0.05258306161094171,0.0,0.0,1.0,bottom_cap
19621,2682.8,-0.0,-3296.471111111,2682.8,-0.0,0.0,0.0,1.0,bottom_cap
19620,2682.8,141.2,-3296.471111111,2686.5132197701914,0.05258306161094171,0.0,0.0,1.0,bottom_cap
19619,2682.8,282.4,-3296.471111111,2697.6222122454433,0.10487693873023388,0.0,0.0,1.0,bottom_cap
19618,2682.8,423.6,-3296.471111111,2716.036229507994,0.15660187698201536,0.0,0.0,1.0,bottom_cap
19617,2682.8,564.8,-3296.471111111,2741.6080828594013,0.20749622643520263,0.0,0.0,1.0,bottom_cap
19616,2682.8,706.0,-3296.471111111,2774.1398378596564,0.25732371497108864,0.0,0.0,1.0,bottom_cap
19615,2682.8,847.2,-3296.471111111,2813.390068938184,0.30587887140485215,0.0,0.0,1.0,bottom_cap
19614,2682.8,988.4,-3296.471111111,2859.082090461902,0.35299038782691045,0.0,0.0,1.0,bottom_cap
19613,2682.8,1129.6,-3296.471111111,2910.9125716860685,0.3985224456664202,0.0,0.0,1.0,bottom_cap
19612,2682.8,1270.8,-3296.471111111,2968.560001077964,0.4423742229767449,0.0,0.0,1.0,bottom_cap
19611,2682.8,1412.0,-3296.471111111,3031.6925701660452,0.4844779290370232,0.0,0.0,1.0,bottom_cap
19610,2682.8,1553.2,-3296.471111111,3099.9751740941415,0.5247957716501073,0.0,0.0,1.0,bottom_cap
19609,2682.8,1694.4,-3296.471111111,3173.0753536592856,0.5633162614919681,0.0,0.0,1.0,bottom_cap
